,rated,turns,white_rating,black_rating,opening_moves,winner
118,1,40,1756,1756,5,1
119,1,49,1724,1958,5,0
120,1,50,2036,1706,6,1
121,1,59,1706,925,5,0
122,1,26,1244,1219,4,1
123,1,23,1215,921,5,0
124,1,118,1350,1201,5,1
125,1,66,1210,1280,4,1
126,1,120,1139,1212,8,0
127,1,36,1220,1341,11,1
128,1,26,1234,1359,6,1
129,1,62,1275,1236,11,1
130,1,37,1433,1282,3,0
131,1,24,1132,1276,4,1
132,0,47,1276,1308,6,0
133,1,37,1228,1266,7,1
134,1,24,1273,1409,5,1
135,1,9,1338,1277,3,0
136,1,47,1263,1336,8,0
137,1,85,1316,1273,2,0
138,1,39,1248,1253,2,0
139,1,58,1335,1233,6,1
140,1,95,1223,1189,11,0
141,1,2,1443,1204,2,1
142,1,97,1227,1216,4,0
143,1,12,1215,1219,5,0
144,1,30,1227,1227,8,0
145,1,43,1550,1225,8,0
146,1,11,1325,1234,2,0
147,1,72,1212,1221,5,1
148,1,156,1226,1478,3,1
149,1,18,1228,1626,4,1
150,0,77,1191,1228,7,0
151,1,32,1422,1210,5,1
152,1,35,1186,1223,5,0
153,1,85,1212,1212,2,0
154,1,50,1228,1343,6,1
155,1,111,1865,1862,5,0
156,1,65,1852,1852,5,0
157,1,73,1833,1863,4,0
158,1,125,1851,1918,4,0
159,1,76,1861,1844,6,1
160,1,65,1853,1774,6,0
161,1,41,1910,1862,11,0
162,1,59,1851,1890,3,0
163,1,70,1860,1840,5,1
164,1,34,1828,1848,5,0
165,1,69,1855,1858,1,0
166,1,63,1847,1895,8,0
167,1,107,1885,1856,4,0
168,1,58,1847,1802,1,0
169,0,34,1847,1856,6,1
170,1,100,1840,1837,3,1
171,1,80,1848,1806,4,1
172,1,44,1860,1820,3,1
173,1,40,1854,1849,3,1
174,1,105,1895,1859,4,0
175,1,50,1866,1965,6,1
176,0,144,1866,1843,4,0
177,0,81,1835,1866,11,1
178,1,69,1877,1860,6,1
179,1,77,1849,1874,11,0
180,1,158,1835,1865,6,1
181,1,107,1866,1835,7,0
182,1,117,1856,1829,12,0
183,1,44,1845,1846,8,0
184,1,40,1834,1835,4,1
185,1,59,1846,1845,2,0
186,0,110,1845,1917,4,1
187,1,30,1858,1790,4,1
188,1,54,1871,1847,4,1
189,1,69,1846,1869,5,1
190,1,178,1843,1836,3,1
191,1,136,1800,1826,2,1
192,0,124,1283,1267,5,1
193,1,96,1290,1270,1,1
194,1,53,1331,1281,4,0
195,1,39,1304,1292,1,0
196,1,10,1305,1293,3,1
197,1,51,1308,1317,8,0
198,1,18,1296,1305,13,1
199,0,106,968,1305,8,1
200,0,38,1293,1466,5,1
201,1,59,1500,1299,7,0
202,1,111,1288,1232,3,0
203,1,28,1289,2108,9,1
204,0,101,1431,1289,6,0
205,0,15,1806,1289,7,0
206,0,42,1289,1311,5,0
207,0,118,1431,1289,3,1
208,0,34,1289,1484,6,1
209,0,60,1289,1810,5,1
210,0,66,1806,1289,5,1
211,0,21,1289,1500,5,0
212,1,73,1409,1297,8,0
213,1,159,1280,1485,6,0
214,0,74,1280,1211,4,0
215,0,28,1211,1280,3,1
216,1,112,1281,1765,6,1
217,1,104,1288,1454,4,1
218,1,40,1560,1270,5,1
219,1,44,1274,1534,4,1
220,1,150,1259,1663,6,0
221,1,60,1614,1238,5,1
222,1,37,1221,1417,11,0
223,1,88,1222,1732,7,1
224,1,113,1232,1234,7,0
225,1,55,1240,1219,8,0
226,1,135,1590,1600,5,0
227,1,137,1568,1617,5,0
228,1,97,1500,1358,6,0
229,0,33,1384,1325,2,1
230,0,29,1384,1265,3,1
231,0,55,1384,1950,2,1
232,1,91,1377,1249,4,0
233,1,53,1375,1389,4,0
234,1,49,1378,1361,5,0
235,1,48,1261,1371,4,1
236,1,20,1380,1429,4,1
237,1,87,1369,1368,6,0
238,1,11,1290,1371,9,0
239,1,110,1372,1326,2,0
240,1,24,1361,1383,1,0
241,1,23,1217,1399,4,0
242,1,81,1387,1447,5,0
243,0,34,1474,1387,2,1
244,1,103,1377,1351,4,0
245,1,29,1389,1339,4,1
246,0,22,1389,1400,4,1
247,0,38,1849,1389,5,0
248,1,46,1395,1378,9,1
249,1,23,1370,1257,6,0
250,1,31,1360,1332,5,0
251,0,51,1311,1360,4,0
252,0,87,1714,1360,6,0
253,1,31,1354,1217,5,0
254,1,38,1245,1346,5,1
255,0,43,1346,1099,6,0
256,1,105,1336,1287,4,0
257,0,87,1580,1555,2,0
258,0,36,1555,1580,6,1
259,1,38,1649,1547,6,1
260,1,110,1426,1527,3,1
261,1,48,1557,1547,8,1
262,0,95,1557,1607,5,0
263,0,70,1607,1557,1,1
264,0,42,1557,1632,7,0
265,1,177,1535,1609,11,0
266,1,114,1713,1558,2,1
267,1,57,1497,1730,2,0
268,1,57,1437,1552,5,0
269,0,82,1516,1552,2,0
270,1,29,1513,1456,5,0
271,1,70,1355,1478,7,1
272,1,97,1638,1614,6,0
273,1,99,1613,1934,11,0
274,0,74,1865,1613,5,1
275,1,48,1776,1587,2,1
276,1,77,1568,1593,6,0
277,1,80,1605,1546,6,1
278,1,35,1518,1709,5,0
279,1,33,1728,1527,8,0
280,1,87,1515,1379,4,0
281,1,40,1538,1501,4,1
282,1,54,1511,1516,4,1
283,1,67,1464,1495,9,1
284,1,21,1470,1475,4,0
285,1,14,1490,1440,6,1
286,0,71,1611,1974,18,0
287,1,72,1611,1945,8,1
288,1,62,1584,1611,5,1
289,1,48,1942,1611,1,1
290,1,6,1217,1611,6,1
291,1,69,1611,2059,12,0
292,1,72,1611,1478,4,0
293,1,40,1486,1552,5,1
294,1,29,1453,1496,2,0
295,1,44,1340,1326,2,0
296,1,59,1532,1500,3,0
297,1,115,1560,1557,6,0
298,1,70,1571,1577,2,1
299,1,36,1580,1617,2,1
300,1,83,1531,1593,7,0
301,1,99,1449,1597,9,0
302,1,43,1743,1604,6,0
303,1,89,1604,1614,8,0
304,1,96,1550,1605,3,1
305,0,116,1630,1605,8,1
306,0,78,1475,1605,1,1
307,0,77,1605,1475,1,0
308,0,70,1475,1605,3,1
309,0,27,1570,1605,7,0
310,0,102,1605,1500,1,1
311,0,21,1500,1605,9,0
312,0,33,1605,1500,1,0
313,0,74,1513,1605,5,1
314,1,65,1790,1874,1,0
315,1,81,1864,1805,5,0
316,1,45,1496,1861,3,1
317,1,52,1851,1853,8,0
318,1,51,1861,1863,4,0
319,1,48,1618,1609,3,0
320,1,20,1620,1607,1,1
321,1,50,1621,1496,5,1
322,1,98,1633,1581,5,1
323,1,106,1623,1623,6,1
324,1,19,1612,1614,5,0
325,1,22,1605,1624,8,0
326,1,114,1693,1621,4,0
327,1,69,1631,1684,4,1
328,1,34,1636,1619,8,1
329,1,40,1613,1617,8,1
330,1,108,1627,1495,6,1
331,1,27,1480,1643,3,0
332,1,63,1631,1652,5,0
333,1,31,1687,1641,5,0
334,1,71,1630,1638,6,0
335,1,92,1414,1624,6,1
336,1,47,1619,1419,7,0
337,1,56,1629,1659,5,1
338,1,48,1649,1639,3,0
339,1,124,1677,1627,1,1
340,1,49,1705,1636,8,0
341,1,64,1647,1635,13,1
342,1,29,1637,1627,7,0
343,1,45,1626,1631,5,0
344,1,96,1602,1615,6,1
345,1,92,1634,1603,3,1
346,1,40,1611,1591,9,1
347,1,123,1579,1623,19,0
348,1,129,1995,1581,4,0
349,1,120,1589,1569,9,1
350,1,71,1570,1555,6,0
351,1,97,1559,1557,3,0
352,1,60,1546,1571,2,0
353,1,57,1550,1567,6,0
354,1,38,1560,1419,5,0
355,1,111,1840,1564,8,0
356,1,119,1660,1549,4,1
357,1,33,1534,1678,5,0
358,1,32,1789,1538,6,0
359,1,96,1841,1921,8,1
360,1,92,1926,1737,2,0
361,1,64,1629,1887,3,1
362,1,10,1860,1712,7,1
363,1,85,1500,1568,4,0
364,1,40,1780,2132,10,1
365,1,58,966,1124,2,1
366,1,26,884,951,2,1
367,1,4,945,1070,3,1
368,1,118,971,1149,3,1
369,1,11,1238,985,1,0
370,1,163,972,1247,2,0
371,1,95,1107,961,4,0
372,1,37,974,1129,3,1
373,1,101,1203,970,3,0
374,1,80,998,937,5,1
375,1,78,1016,1126,1,1
376,1,89,1025,1153,4,0
377,1,42,1047,1151,4,1
378,1,8,998,1016,6,1
379,1,101,1127,1044,3,0
380,1,65,1020,1200,3,0
381,1,60,1069,1071,4,1
382,1,71,1071,1068,3,0
383,1,44,1115,1223,4,1
384,1,20,1190,1213,4,1
385,1,41,1337,1337,3,0
386,1,40,1500,1500,2,1
387,1,27,1500,1571,7,0
388,1,59,1367,1866,1,1
389,1,19,1590,1373,2,0
390,1,50,1377,1667,1,1
391,1,34,1558,1358,15,1
392,1,15,1476,1367,2,0
393,1,52,1376,1469,1,1
394,1,65,1460,1386,2,0
395,1,67,1372,1408,5,0
396,1,31,1373,2148,4,1
397,0,130,1500,1395,2,1
398,1,125,1382,1414,5,0
399,1,76,1320,1400,3,1
400,1,121,1383,1330,3,0
401,0,53,1383,1242,3,0
402,1,116,1469,1357,9,1
403,0,47,959,1357,4,0
404,0,53,1357,959,3,0
405,0,76,959,1357,4,1
406,1,110,1588,1691,8,0
407,1,67,1541,1586,9,0
408,1,17,1517,1320,4,0
409,1,39,1569,1569,2,0
410,1,94,1563,1498,5,1
411,1,37,1903,1512,8,0
412,1,37,1612,1450,5,0
413,0,34,1327,1450,3,0
414,0,41,1245,1450,5,0
415,0,30,1921,1451,4,1
416,1,51,1462,1464,3,0
417,1,79,1450,1486,6,0
418,1,83,1439,1418,5,0
419,1,14,1728,1500,6,1
420,1,21,1547,1563,4,0
421,1,47,1863,1567,2,0
422,1,38,1559,1423,2,0
423,1,34,1570,1611,7,1
424,1,39,1562,1582,6,0
425,1,43,1576,1386,3,0
426,1,41,1353,1595,3,0
427,1,49,1591,1326,3,0
428,1,38,1560,1580,4,1
429,1,70,1727,1574,4,1
430,1,48,1579,1841,4,1
431,1,50,1877,1558,11,1
432,1,57,1536,1962,3,0
433,1,148,1529,1763,3,0
434,1,62,1590,1515,4,1
435,1,29,1653,1522,2,0
436,1,52,1675,1505,6,1
437,1,26,1547,1491,6,1
438,1,59,1507,1399,2,1
439,1,2,1641,1502,2,0
440,1,195,1496,1703,5,0
441,1,56,1482,1484,4,1
442,1,40,1486,1909,2,1
443,1,31,1919,1488,2,0
444,1,60,1488,2192,2,1
445,1,45,1470,1684,3,0
446,1,63,1465,1659,3,0
447,1,17,1586,1473,5,0
448,1,34,1548,1488,6,0
449,1,36,1500,1501,2,1
450,1,62,1509,1487,8,1
451,1,46,1356,1491,2,0
452,1,34,1495,1771,2,1
453,1,38,1529,1639,3,0
454,1,107,1631,1537,6,0
455,1,42,1546,1621,6,1
456,1,35,1568,1636,5,0
457,1,122,1354,1631,5,1
458,1,71,1626,1384,7,0
459,1,42,1639,1813,6,1
460,1,2,1646,1795,2,1
461,1,11,1646,939,4,0
462,1,54,1657,1678,8,1
463,1,58,1667,1668,5,0
464,1,42,1683,1599,4,1
465,1,116,1596,1686,2,0
466,1,74,1769,1659,2,1
467,1,54,1668,1761,2,1
468,1,85,1752,1677,2,0
469,1,38,1688,1743,10,1
470,1,41,1582,1704,3,0
471,1,121,1693,1666,7,0
472,1,30,1676,1680,3,1
473,1,64,1142,1679,3,1
474,1,15,1678,1148,10,0
475,1,40,1154,1676,1,1
476,1,128,1686,1098,2,0
477,1,48,1102,1685,1,1
478,1,51,1684,1107,4,0
479,1,71,1493,1678,2,1
480,1,60,1525,1693,3,0
481,1,58,1709,1681,2,1
482,1,60,1692,1699,2,1
483,1,40,1688,1704,2,0
484,1,29,1699,1497,2,0
485,1,98,1703,1943,2,1
486,1,71,1694,1692,6,1
487,1,135,1696,1564,2,0
488,1,34,1572,1688,5,1
489,1,60,1392,1684,6,1
490,1,47,1707,1696,3,1
491,1,23,1684,1720,7,0
492,1,78,1733,1672,2,1
493,1,35,1721,1736,6,0
494,1,53,1724,1733,4,0
495,1,120,1746,1712,2,1
496,1,41,1741,1496,2,0
497,1,42,1295,1240,7,1
498,1,63,1430,1302,5,0
499,0,23,1302,1248,4,1
500,1,32,1314,1270,5,1
501,0,73,1445,1314,5,0
502,1,90,1321,1451,7,1
503,1,41,1300,1333,6,0
504,1,43,1318,1449,4,0
505,1,38,1450,1303,17,1
506,1,41,1290,1367,5,0
507,1,84,1300,1330,9,1
508,1,56,1209,1291,5,1
509,1,30,1299,1418,6,1
510,0,6,1814,1299,5,0
511,1,67,1348,1308,3,0
512,1,56,1318,1366,5,1
513,1,103,1324,1329,6,0
514,1,40,1345,1187,5,1
515,1,52,1352,1149,5,1
516,1,57,1350,1429,10,0
517,1,23,1403,1340,3,0
518,1,39,1322,1072,5,0
519,1,52,1331,1382,4,1
520,1,41,1373,1341,6,0
521,1,33,1350,1265,5,0
522,1,58,1270,1299,3,1
523,1,31,1223,1282,4,0
524,1,15,1289,1306,8,0
525,1,32,1007,1268,6,1
526,1,45,1170,1179,5,0
527,1,25,1442,1183,8,0
528,1,15,1172,1170,5,0
529,1,62,1178,1346,8,1
530,1,59,1171,1190,9,0
531,1,51,1175,1329,10,0
532,1,22,1273,1160,2,1
533,1,27,1154,974,5,0
534,1,34,1167,1122,6,1
535,1,79,1439,1171,10,0
536,1,73,1245,1170,9,0
537,1,74,1250,1156,1,1
538,1,92,1164,1263,8,1
539,1,26,1173,1251,5,1
540,1,40,1089,1165,6,1
541,1,77,1278,1173,3,0
542,1,58,1178,1391,6,1
543,1,51,1164,1293,10,0
544,1,73,1353,1170,7,0
545,1,50,1030,1162,3,1
546,1,52,1176,1118,4,1
547,1,11,1353,1181,4,0
548,1,61,1184,1184,5,0
549,1,19,1171,1252,5,0
550,1,51,1157,1234,7,0
551,1,12,1034,1149,4,1
552,1,86,1156,886,5,0
553,1,27,1142,1226,3,0
554,1,86,1042,1133,3,1
555,1,61,1123,1084,6,0
556,1,53,1247,1122,3,0
557,1,50,1070,1112,1,1
558,1,16,1099,1173,7,0
559,1,110,1114,1027,5,1
560,1,45,914,1133,5,0
561,1,93,1125,996,5,0
562,1,105,1242,1125,4,0
563,1,60,1133,1234,6,1
564,1,58,981,1127,6,1
565,1,65,1111,1219,7,0
566,1,56,1126,1054,5,1
567,1,64,1147,908,4,1
568,1,4,914,1141,1,1
569,1,58,1984,1948,6,1
570,1,34,1954,2158,3,1
571,0,101,2008,1954,4,0
572,0,35,1954,2008,5,1
573,0,54,2008,1954,2,1
574,0,116,1954,2008,2,1
575,1,115,2100,1960,2,0
576,1,48,1945,1961,6,0
577,1,56,1982,1960,2,0
578,1,54,1974,1899,2,1
579,1,37,2068,1982,11,0
580,1,81,1959,2028,1,0
581,1,45,2005,1969,1,0
582,1,161,1960,1868,2,0
583,1,88,1964,2287,5,1
584,1,148,1914,1965,4,0
585,1,119,1951,2049,2,0
586,1,60,2149,1933,7,1
587,1,34,1599,1929,6,1
588,1,94,1882,1919,6,1
589,1,122,1699,1914,5,1
590,1,44,1916,2285,2,1
591,1,26,1936,1638,5,1
592,1,116,1758,1929,4,1
593,1,31,1265,1957,5,0
594,1,133,1954,1578,9,0
595,0,65,1984,2050,4,0
596,0,62,2050,1627,2,1
597,0,62,1627,2050,3,1
598,0,42,2050,1627,2,1
599,0,42,1627,2050,2,1
600,0,158,1617,2050,5,0
601,0,31,2050,1852,6,0
602,0,46,1981,2050,4,1
603,0,20,2050,1981,9,1
604,0,73,1901,1164,8,0
605,0,35,1164,1435,4,0
606,0,71,1435,1164,7,0
607,0,46,1164,1435,7,0
608,0,52,1164,1901,8,1
609,1,52,1245,1228,5,1
610,1,70,1287,1099,2,1
611,0,49,1866,1099,10,0
612,1,75,1211,1230,2,0
613,1,61,1344,1500,4,0
614,0,41,1834,1500,8,0
615,0,46,1500,1834,5,1
616,0,53,1635,1500,10,0
617,1,52,1456,1604,4,1
618,1,36,1378,1318,3,1
619,1,64,1500,1487,5,1
620,1,65,1714,1709,5,0
621,1,71,1613,1729,9,0
622,1,50,1731,2127,4,1
623,1,54,1739,1840,11,1
624,1,76,1760,1718,7,1
625,1,61,1708,1729,8,0
626,1,53,1721,1643,4,0
627,1,24,1707,1712,7,1
628,1,64,1170,1662,2,1
629,1,51,1261,1237,1,0
630,1,71,1100,1306,3,0
631,0,49,1590,1100,7,0
632,0,34,1100,1590,3,1
633,1,88,1302,875,3,1
634,1,11,1234,1335,4,0
635,1,11,1522,1500,6,0
636,1,86,2306,2405,7,1
637,1,58,2422,2386,8,1
638,1,50,2373,2356,17,1
639,1,62,2325,2338,5,1
640,1,39,2336,1830,9,0
641,1,49,2334,1836,6,0
642,1,43,2329,2017,15,0
643,1,84,1879,2326,6,1
644,1,41,2323,1881,16,0
645,1,48,1622,2322,9,1
646,1,48,1933,2318,10,1
647,1,38,1983,2313,2,1
648,1,41,2312,1663,6,0
649,1,28,1866,2309,2,1
650,1,74,1835,2307,9,1
651,1,29,2300,2041,8,0
652,1,45,2288,2148,4,0
653,1,61,2283,1947,7,0
654,1,19,2275,2016,12,0
655,1,48,1909,2271,8,1
656,1,41,2263,2006,7,0
657,1,30,1293,2263,2,1
658,1,55,2257,1922,9,0
659,1,72,2191,2239,10,1
660,1,78,1380,2239,4,1
661,1,34,1796,2235,4,1
662,1,56,1879,2230,11,1
663,1,49,2217,2059,15,0
664,1,72,2336,2185,10,1
665,1,70,2175,1936,11,0
666,1,83,2161,1984,8,0
667,1,57,2150,1915,6,0
668,1,39,1976,2135,6,1
669,1,56,1830,2126,4,1
670,1,46,2001,2105,6,1
671,1,31,2104,1344,5,0
672,1,66,1918,2086,4,1
673,1,52,2082,1500,7,0
674,1,100,1774,2071,8,1
675,1,10,1778,2059,8,1
676,1,49,1783,2045,10,1
677,1,100,1788,2029,11,1
678,1,107,1609,2109,8,0
679,1,44,1701,2100,3,1
680,1,27,2091,1704,4,0
681,1,72,1931,2061,8,1
682,0,21,1408,1396,4,0
683,1,91,1398,1383,4,0
684,1,35,1387,1399,5,0
685,1,50,1394,1512,4,1
686,1,56,1479,1381,4,1
687,1,37,1371,1374,4,0
688,1,66,1372,1360,4,1
689,1,40,1351,1287,4,0
690,1,32,1209,1265,1,1
691,1,26,1221,1820,3,1
692,1,89,1332,1500,2,0
693,1,65,1528,1369,3,1
694,1,37,1231,1545,8,0
695,1,48,1142,1138,6,0
696,1,54,1263,1264,7,1
697,1,43,1392,1500,2,0
698,1,60,1906,1834,11,1
699,1,122,1841,2015,2,1
700,1,49,1905,1852,2,0
701,1,56,1467,1478,4,1
702,0,77,1478,1500,3,0
703,0,60,1500,1478,1,1
704,0,33,1478,1362,2,0
705,0,83,1478,1490,5,0
706,1,102,1453,1466,6,1
707,0,29,1466,1592,7,0
708,0,91,1466,1582,4,0
709,0,34,1466,1744,9,1
710,1,59,1479,1454,7,1
711,1,41,1566,1493,6,0
712,1,54,1454,1421,6,1
713,1,43,1444,1465,1,0
714,1,34,1387,1457,9,1
715,1,122,1417,1447,3,1
716,1,51,1436,1439,12,0
717,1,62,1455,1081,10,1
718,1,30,1318,1448,10,1
719,1,79,1437,1446,9,0
720,1,32,1448,1436,4,1
721,1,78,1308,1441,5,1
722,1,82,1708,1851,4,1
723,1,64,1960,2260,5,1
724,1,59,1969,2247,5,1
725,1,62,1325,1174,3,1
726,0,104,1325,1500,8,1
727,1,65,1322,913,3,0
728,1,23,1224,1332,3,0
729,1,50,1353,1068,5,1
730,1,58,1131,1347,4,1
731,1,64,1197,1340,2,1
732,0,56,1163,1340,5,1
733,1,18,1362,976,6,1
734,1,43,1348,1381,3,0
735,1,24,1375,1334,6,1
736,1,125,911,1356,2,0
737,1,104,1030,1352,10,1
738,0,29,1352,1408,4,0
739,0,48,2035,1352,4,1
740,1,65,1787,1417,7,0
741,1,20,1810,1495,6,1
742,1,38,1783,1797,2,1
743,1,26,1723,1814,11,0
744,1,70,1645,1806,7,1
745,1,35,1800,1590,5,0
746,1,23,1798,1250,10,0
747,1,76,1602,1791,3,1
748,1,68,1415,1788,3,1
749,1,4,1758,1804,4,0
750,1,30,1815,1889,2,1
751,1,59,1800,1831,4,0
752,1,77,1820,1814,3,0
753,1,76,1830,1809,4,1
754,1,34,1914,1842,8,0
755,1,53,1856,1903,8,1
756,1,178,2153,2474,5,0
757,1,91,2474,2477,7,0
758,1,57,2469,2216,11,0
759,1,42,2220,2464,8,1
760,1,48,1973,2462,8,1
761,1,33,2465,2384,3,0
762,1,71,2460,2240,3,0
763,1,26,2104,2456,6,1
764,1,32,2301,2449,6,1
765,1,63,2447,2005,5,0
766,1,86,2306,2438,8,1
767,1,99,2432,2213,8,0
768,1,36,2255,2425,3,1
769,1,153,2428,2360,15,0
770,1,112,2208,2421,4,1
771,1,39,2418,2067,7,0
772,1,28,2083,2415,2,1
773,1,65,2409,2182,6,0
774,1,21,2281,2400,3,1
775,1,98,2015,2397,9,1
776,1,31,1426,1371,5,1
777,1,68,1437,1476,6,1
778,1,42,1719,1679,6,0
779,1,42,1689,1670,8,1
780,1,59,1672,1701,3,0
781,1,80,1695,1923,11,1
782,1,31,1706,1698,4,1
783,1,107,1687,1717,7,0
784,1,18,1728,1723,8,1
785,1,72,1648,1719,4,1
786,0,45,1719,1765,7,0
787,1,66,1648,1710,4,1
788,1,93,1696,1722,3,0
789,1,90,1732,1768,13,1
790,1,23,1833,1740,6,0
791,1,118,1433,1737,3,1
792,1,103,1729,2008,7,0
793,1,23,1722,1605,8,0
794,1,91,1713,1659,6,0
795,1,56,1605,1698,1,1
796,1,71,1690,1613,3,0
797,1,48,1622,1681,1,1
798,1,80,1702,1681,6,1
799,1,33,1568,1696,8,0
800,1,84,1707,1699,3,1
801,1,51,1453,1724,6,0
802,1,47,1735,1733,5,1
803,1,74,1744,1801,9,1
804,1,77,1854,1730,7,1
805,1,54,1705,1719,6,1
806,1,75,1709,1716,5,0
807,1,89,1694,1825,5,0
808,1,62,1651,1684,3,1
809,1,49,1706,1695,2,0
810,1,67,1683,1717,5,0
811,1,73,1707,1693,2,0
812,1,43,1758,1702,4,0
813,1,70,1713,1709,11,1
814,1,28,1724,1734,7,1
815,1,16,1730,1882,4,1
816,0,47,2334,1800,2,0
817,1,52,1680,1789,2,1
818,1,43,1774,1768,2,0
819,1,78,1711,1760,2,1
820,0,75,1760,1542,4,0
821,1,105,1713,1609,2,0
822,1,103,1710,1618,1,0
823,1,35,1374,1613,6,1
824,1,45,1603,1539,6,0
825,0,92,1564,1603,7,0
826,0,108,1821,1842,11,1
827,0,154,1512,1821,6,1
828,0,21,1821,1832,5,0
829,0,48,1832,1821,7,1
830,0,89,1821,1832,5,0
831,0,31,1832,1821,7,0
832,0,66,1500,1821,5,1
833,0,80,1821,1820,5,0
834,0,62,1500,1821,11,0
835,0,120,1877,1821,11,1
836,1,38,1902,1830,8,0
837,0,61,1830,1311,8,0
838,0,28,1824,1830,3,1
839,0,99,1548,1842,5,0
840,1,49,1858,1730,3,1
841,1,44,1891,1845,6,1
842,1,55,1876,1856,4,0
843,1,92,1867,1883,8,1
844,1,27,1864,1449,4,0
845,1,98,1922,1851,5,1
846,1,24,1861,1899,4,1
847,1,4,1527,1861,1,1
848,1,16,1878,1698,6,1
849,0,85,1878,1906,14,0
850,1,70,1660,1873,4,1
851,0,36,1707,1873,4,1
852,1,124,1806,1875,11,0
853,1,61,1864,1842,5,0
854,1,66,1853,1853,6,1
855,1,20,1882,1840,6,1
856,1,49,1832,1696,4,0
857,1,42,1704,1824,2,1
858,1,32,1841,1688,4,1
859,1,70,1695,1834,2,1
860,1,52,1851,1679,4,1
861,1,18,1527,1882,3,1
862,1,4,1527,1882,1,1
863,1,54,1500,1901,5,1
864,1,4,1533,1897,1,1
865,1,5,1894,1539,1,0
866,1,26,1545,1890,3,1
867,1,4,1552,1887,1,1
868,0,115,1923,1887,3,0
869,0,100,1961,2215,19,1
870,1,113,2215,1961,18,0
871,1,125,2215,2191,8,0
872,1,51,2215,2147,4,0
873,1,65,1803,2215,7,1
